"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"08/2023";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"536.893.005,46";"221.823.389,34";"500.538.549,17";"19.902.706,22";
"06/2023";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"555.196.452,03";"561.678.345,07";"566.066.997,05";"121.104.382,21";
"03/2023";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"862.955.697,01";"1.362.950.203,19";"998.371.215,79";"541.328.996,81";
"02/2023";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"1.075.901.823,07";"302.875.255,36";"184.235.298,00";"318.056.691,62";
"01/2023";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"2.017.196.550,65";"323.253.169,81";"150.008.563,23";"313.470.886,31";
"07/2023";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"1.397.860.151,19";"848.657.152,69";"911.788.500,01";"87.487.592,27";
"01/2023";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"21.762.574,36";"1.574.313,90";"506.247,05";"1.597.846,65";
"05/2023";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"- 378.481,44";"2.193.323,89";"2.094.034,74";"0,00";
"04/2023";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"3.103.676,95";"2.132.267,84";"2.131.506,39";"0,00";
"08/2023";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"374.698,24";"445.110,28";"2.973.694,58";"0,00";
"03/2023";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"83.216,96";"2.080.785,14";"2.053.909,99";"0,00";
"02/2023";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"44.105,78";"2.110.797,01";"2.132.612,25";"0,00";
"07/2023";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"904.928,41";"2.527.315,90";"2.779.165,46";"0,00";
"06/2023";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"2.755.588,60";"2.705.565,68";"2.253.979,19";"0,00";
"08/2023";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"12.387.942,34";"9.730.089,71";"222.068.781,55";"6.644.107,36";
"05/2023";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"17.495.192,55";"169.033.422,16";"133.746.033,79";"15.332.374,46";
"06/2023";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"24.982.803,33";"215.070.945,59";"164.430.985,06";"15.823.691,62";
"02/2023";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"10.096.374,85";"143.894.711,04";"144.370.343,60";"25.379.586,69";
"01/2023";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"1.768.688.891,75";"144.091.370,61";"47.887.095,31";"108.830.431,89";
"07/2023";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"37.770.773,50";"195.900.133,52";"224.993.945,67";"8.698.605,71";
"03/2023";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"38.115.744,68";"145.972.875,66";"146.659.146,92";"23.611.223,58";
"04/2023";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"99.761.203,32";"147.696.831,68";"147.061.373,45";"15.813.209,79";
"08/2023";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"6.146.883,18";"5.609.804,04";"94.212.778,68";"1.210.857,95";
"06/2023";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"25.876.070,55";"94.780.866,55";"75.751.760,36";"1.600.281,02";
"02/2023";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"10.299.284,35";"69.951.281,73";"62.150.899,67";"6.207.094,86";
"07/2023";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"21.585.523,04";"75.971.924,28";"99.418.636,71";"1.337.259,19";
"01/2023";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"757.281.648,95";"60.356.769,60";"18.106.915,01";"54.625.622,04";
"03/2023";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"7.229.745,74";"64.936.213,14";"70.958.311,09";"7.941.946,24";
"04/2023";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"24.334.178,79";"68.155.638,33";"66.882.524,14";"4.594.048,43";
"05/2023";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"8.191.805,90";"75.286.152,89";"63.153.385,60";"4.260.311,75";
"02/2023";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"21.383.904,85";"79.383.095,24";"71.354.816,92";"2.449.462,76";
"03/2023";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"11.259.844,53";"75.473.787,87";"83.958.282,95";"2.162.652,76";
"05/2023";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"35.770.390,17";"80.947.851,19";"68.730.680,30";"4.120.795,26";
"06/2023";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"28.870.672,03";"110.107.028,81";"85.164.228,89";"1.854.117,70";
"04/2023";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"22.480.479,56";"76.158.681,38";"74.459.212,54";"1.498.152,22";
"07/2023";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"134.654.964,99";"83.376.790,79";"108.699.350,79";"2.016.030,60";
"08/2023";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"6.908.080,01";"5.151.727,88";"105.929.413,24";"225.580,10";
"01/2023";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"591.702.496,98";"70.389.157,33";"21.344.672,05";"62.959.551,57";
"04/2023";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"9.619.052,48";"22.837.397,62";"22.544.912,47";"2.903.917,05";
"06/2023";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"23.731.768,19";"32.342.591,67";"23.169.995,16";"5.010.625,29";
"01/2023";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"268.052.177,03";"20.873.137,75";"6.957.213,76";"18.805.815,90";
"08/2023";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"948.406,41";"1.139.043,99";"34.111.602,29";"3.707.466,41";
"05/2023";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"4.772.517,69";"25.680.377,17";"21.786.099,62";"1.890.608,25";
"03/2023";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"2.373.985,84";"22.175.182,02";"21.069.680,57";"4.056.919,68";
"02/2023";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"5.602.192,86";"20.960.564,08";"20.871.118,95";"1.468.290,03";
"07/2023";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"6.123.284,59";"25.780.027,23";"32.522.453,77";"742.579,07";
"06/2023";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"15.304.492,89";"19.732.832,58";"14.596.585,49";"735.771,90";
"03/2023";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"6.299.992,22";"13.806.283,26";"13.190.439,13";"5.350.038,18";
"05/2023";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"7.591.420,79";"15.500.547,95";"13.702.750,54";"722.652,20";
"01/2023";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"133.329.928,61";"13.415.990,47";"3.289.657,11";"10.726.262,61";
"07/2023";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"465.375,43";"16.010.303,67";"19.375.997,54";"939.126,89";
"04/2023";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"10.723.022,13";"14.220.378,39";"13.612.254,45";"1.643.859,92";
"08/2023";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"42.428,49";"800.477,22";"23.346.248,19";"253.111,77";
"02/2023";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"4.884.327,81";"12.734.446,45";"13.323.923,25";"2.006.693,61";
"07/2023";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"17.705.255,50";"74.415.964,70";"93.437.655,30";"77.699,44";
"06/2023";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"58.409.875,27";"94.163.400,67";"64.528.858,55";"1.275.708,92";
"01/2023";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"641.011.297,86";"65.990.527,32";"20.778.215,01";"57.523.647,72";
"04/2023";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"12.633.538,27";"67.507.760,06";"65.126.772,07";"1.236.928,79";
"02/2023";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"7.937.649,62";"67.400.785,51";"64.141.832,40";"1.756.454,71";
"05/2023";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"12.001.390,61";"72.486.294,14";"62.941.798,57";"1.126.639,74";
"03/2023";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"7.560.112,69";"66.926.560,62";"71.302.831,55";"1.997.102,21";
"08/2023";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"76.483.297,70";"4.526.255,75";"98.385.839,58";"445.358,26";
"06/2023";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"77.341.414,04";"33.805.522,78";"26.192.234,67";"4.799.567,70";
"04/2023";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"15.754.627,70";"23.008.918,05";"22.445.385,89";"2.324.356,56";
"02/2023";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"1.880.427,73";"21.686.885,58";"21.660.689,59";"1.769.470,96";
"03/2023";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"26.962.561,69";"22.810.733,82";"22.702.389,66";"3.987.867,87";
"05/2023";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"10.353.130,80";"26.297.778,81";"21.803.631,89";"4.298.528,96";
"01/2023";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"75.056.320,58";"21.834.485,67";"7.033.591,08";"19.853.825,52";
"07/2023";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"5.238.014,41";"25.652.661,54";"30.758.999,89";"2.684.739,91";
"08/2023";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"4.466.066,08";"1.241.723,08";"37.100.189,80";"1.404.178,07";
"05/2023";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"15.607.645,58";"72.807.419,40";"62.983.211,87";"3.875.502,86";
"01/2023";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"534.949.893,01";"62.326.905,78";"22.334.188,12";"54.507.362,62";
"07/2023";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"23.119.197,98";"75.375.890,58";"94.581.917,78";"2.946.361,72";
"02/2023";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"20.068.775,66";"64.759.161,28";"60.880.780,57";"9.769.839,10";
"06/2023";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"35.950.546,76";"93.147.704,90";"67.688.515,52";"944.559,50";
"04/2023";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"34.283.853,28";"69.697.407,25";"68.176.981,17";"4.195.743,94";
"08/2023";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"14.069.521,89";"5.282.363,12";"88.100.695,49";"492.872,08";
"03/2023";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"29.969.918,92";"66.708.460,81";"67.752.245,72";"5.544.085,59";
"03/2023";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"60.342.396,09";"60.456.811,64";"54.632.181,25";"2.923.387,79";
"01/2023";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"51.940.472,14";"51.256.875,17";"16.301.759,52";"40.718.684,23";
"08/2023";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"1.742.842,19";"1.816.746,83";"80.645.848,83";"490.587,63";
"05/2023";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"60.549.396,26";"58.867.412,24";"49.984.985,39";"3.611.348,33";
"02/2023";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"55.088.389,52";"52.955.703,95";"51.296.869,73";"6.876.967,76";
"06/2023";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"73.913.175,63";"75.706.166,16";"53.094.563,48";"1.638.717,88";
"04/2023";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"63.309.331,09";"56.485.455,47";"60.199.839,28";"1.813.302,65";
"07/2023";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"71.273.291,23";"60.818.903,75";"75.727.557,13";"1.079.802,73";
"01/2023";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"310.165.468,29";"25.449.150,74";"8.562.962,75";"23.915.858,77";
"04/2023";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"30.396.958,59";"28.890.543,82";"28.867.899,47";"945.009,67";
"03/2023";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"7.220.454,16";"29.126.284,78";"29.321.211,16";"2.368.012,48";
"07/2023";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"7.464.170,93";"32.935.747,40";"39.599.261,08";"403.072,85";
"08/2023";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"3.105.773,70";"2.918.989,38";"53.120.296,93";"1.155.262,41";
"02/2023";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"3.470.011,64";"26.589.263,75";"25.561.912,28";"3.998.850,81";
"05/2023";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"2.187.751,72";"32.447.328,84";"27.413.142,83";"583.305,47";
"06/2023";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"4.018.054,27";"41.289.847,79";"24.030.480,62";"890.460,07";
"06/2023";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"111.175.543,94";"171.560.041,15";"124.247.237,06";"2.574.529,18";
"08/2023";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"3.142.016,41";"13.817.122,13";"174.935.313,12";"1.512.101,59";
"07/2023";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"15.572.530,52";"132.691.974,06";"168.557.785,09";"1.278.959,43";
"02/2023";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"9.418.231,57";"116.470.435,86";"119.084.645,55";"10.406.190,37";
"05/2023";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"55.598.631,38";"129.705.906,83";"114.162.442,83";"2.826.986,86";
"04/2023";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"53.044.462,54";"127.212.453,77";"119.826.800,06";"2.121.414,20";
"03/2023";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"27.753.717,14";"111.650.192,98";"116.763.546,18";"4.628.270,79";
"01/2023";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"1.384.433.570,35";"124.858.113,81";"39.633.648,38";"105.616.689,23";
"07/2023";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"35.704.131,31";"29.150.135,32";"36.205.975,99";"4.014.943,69";
"08/2023";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"6.144.875,99";"3.437.160,39";"34.036.400,34";"1.305.735,49";
"01/2023";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"23.929.971,88";"22.763.156,78";"8.270.535,79";"18.861.666,09";
"02/2023";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"27.108.349,64";"22.285.218,94";"22.687.557,95";"2.976.705,83";
"04/2023";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"31.592.872,20";"27.314.162,45";"25.245.368,97";"3.495.870,93";
"05/2023";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"30.610.570,87";"28.886.695,43";"25.630.814,68";"6.467.150,48";
"03/2023";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"28.462.976,87";"23.566.993,91";"22.934.820,35";"17.478.834,35";
"06/2023";"26000 - Ministério da Educação";"26352 - Fundação Universidade Federal do ABC";"36.776.792,47";"35.726.146,44";"28.461.824,17";"5.716.443,50";
"02/2023";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"6.417.906,06";"29.966.046,29";"27.578.152,89";"2.773.849,68";
"01/2023";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"338.262.445,75";"27.202.993,52";"8.382.560,34";"25.237.193,19";
"08/2023";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"8.765.013,61";"8.161.566,35";"48.684.063,60";"497.195,57";
"04/2023";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"13.506.830,75";"28.751.289,10";"28.781.616,72";"3.191.227,46";
"03/2023";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"2.089.226,04";"30.336.891,43";"32.192.436,25";"4.134.725,52";
"05/2023";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"8.873.969,46";"31.684.149,97";"26.803.411,40";"1.831.460,40";
"07/2023";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"7.628.303,32";"35.328.374,48";"39.512.064,10";"1.151.078,50";
"06/2023";"26000 - Ministério da Educação";"26275 - Fundação Universidade Federal do Acre";"30.523.871,18";"40.362.148,15";"32.900.129,41";"1.853.565,98";
"01/2023";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"190.283.832,46";"15.139.499,08";"4.976.461,41";"13.122.187,70";
"08/2023";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"2.282.110,70";"1.718.177,06";"23.061.957,12";"914.130,93";
"02/2023";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"9.522.374,13";"15.888.647,26";"15.195.972,35";"1.860.551,43";
"03/2023";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"- 2.724.245,71";"17.594.278,71";"17.210.772,49";"6.289.623,28";
"06/2023";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"3.956.012,40";"23.505.969,83";"18.939.160,01";"5.452.181,71";
"07/2023";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"953.225,34";"18.806.076,80";"23.526.210,74";"3.932.436,64";
"04/2023";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"17.195.517,97";"18.307.134,83";"17.772.813,95";"3.063.376,00";
"05/2023";"26000 - Ministério da Educação";"26286 - Fundação Universidade Federal do Amapá";"2.136.440,69";"18.411.318,20";"16.658.081,12";"4.954.821,34";
"01/2023";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"820.849.246,80";"65.073.815,13";"19.082.800,67";"72.479.524,74";
"03/2023";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"9.256.529,85";"70.415.205,88";"73.727.870,97";"6.102.727,84";
"06/2023";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"24.132.548,13";"97.802.233,18";"69.609.770,80";"2.441.332,41";
"04/2023";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"7.942.212,03";"70.648.273,84";"69.469.993,11";"1.173.330,22";
"08/2023";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"7.635.111,06";"4.948.895,93";"109.840.403,75";"446.954,51";
"02/2023";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"5.072.343,71";"69.412.670,74";"66.363.960,51";"6.402.029,47";
"07/2023";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"2.813.516,85";"75.460.432,46";"97.304.477,88";"1.378.957,66";
"05/2023";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"25.822.956,21";"80.406.841,88";"66.800.673,82";"3.282.107,98";
"06/2023";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"19.908.275,11";"105.465.003,01";"72.721.547,47";"3.488.047,90";
"07/2023";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"11.022.575,87";"83.405.831,19";"107.349.064,71";"379.588,70";
"03/2023";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"20.037.816,00";"77.590.446,05";"82.006.253,05";"7.146.298,48";
"08/2023";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"17.422.611,32";"16.710.304,40";"111.436.234,46";"33.726,07";
"04/2023";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"48.290.558,40";"74.503.556,35";"74.944.262,57";"13.816.010,42";
"05/2023";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"11.697.922,79";"82.695.188,81";"69.868.337,04";"3.894.868,82";
"01/2023";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"754.193.868,19";"67.165.857,70";"21.394.894,71";"71.803.593,36";
"02/2023";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"9.192.623,49";"72.957.918,87";"68.540.240,71";"4.519.715,32";
"01/2023";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"324.546.490,40";"29.723.597,29";"9.754.212,67";"20.394.782,63";
"03/2023";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"4.747.259,51";"27.815.416,34";"27.689.702,95";"4.056.525,25";
"06/2023";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"27.674.809,45";"39.607.105,90";"32.026.557,49";"787.059,60";
"08/2023";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"2.506.672,20";"979.525,56";"45.269.904,88";"942.702,82";
"05/2023";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"4.103.079,70";"31.239.674,03";"25.945.350,81";"1.186.472,03";
"02/2023";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"2.928.195,54";"27.111.392,73";"29.566.509,18";"2.600.447,02";
"07/2023";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"8.784.543,57";"32.314.890,77";"38.961.639,92";"2.092.667,54";
"04/2023";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"13.568.527,95";"28.904.216,00";"28.162.278,96";"1.160.990,24";
"06/2023";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"130.220.047,30";"88.114.353,76";"69.469.782,23";"2.938.506,90";
"02/2023";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"28.963.930,24";"62.409.956,59";"57.465.283,33";"8.129.824,57";
"08/2023";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"41.401.809,09";"5.911.677,55";"91.435.145,81";"521.342,01";
"01/2023";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"172.712.982,74";"56.290.105,68";"16.289.209,25";"60.321.333,72";
"07/2023";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"15.738.030,49";"71.108.606,84";"88.895.082,06";"1.946.589,81";
"05/2023";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"134.347.622,74";"69.340.688,69";"58.142.607,15";"2.160.042,29";
"04/2023";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"89.439.253,27";"63.287.905,11";"64.265.685,78";"2.717.525,39";
"03/2023";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"52.392.605,07";"62.772.437,13";"65.519.985,69";"11.409.393,43";
"06/2023";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"14.299.171,95";"43.618.973,27";"34.969.414,46";"2.871.105,05";
"05/2023";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"5.909.192,14";"33.501.053,08";"28.265.388,01";"3.718.748,15";
"04/2023";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"11.680.343,32";"30.670.066,96";"30.114.103,97";"4.163.328,44";
"03/2023";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"5.354.280,00";"28.805.701,76";"28.168.096,30";"11.015.588,94";
"01/2023";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"348.562.132,39";"27.161.717,77";"9.446.338,80";"31.220.444,63";
"02/2023";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"5.665.706,09";"27.939.486,25";"27.261.432,28";"3.184.066,42";
"08/2023";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"9.551.101,67";"2.014.990,82";"43.034.678,62";"4.178.954,87";
"07/2023";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"819.535,20";"34.283.205,38";"38.012.130,55";"2.482.521,24";
"01/2023";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"166.130.997,62";"15.106.755,43";"5.063.269,62";"13.183.526,33";
"02/2023";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"8.204.977,40";"17.047.702,22";"15.491.915,40";"5.412.332,46";
"04/2023";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"10.523.824,55";"22.009.082,96";"21.300.786,13";"1.815.335,52";
"07/2023";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"5.159.124,92";"21.486.319,78";"25.140.892,69";"1.305.134,53";
"03/2023";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"17.659.012,71";"23.721.117,05";"18.309.432,58";"3.651.286,59";
"06/2023";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"10.376.991,42";"25.932.350,41";"21.466.417,88";"1.331.178,25";
"05/2023";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"10.048.047,86";"21.352.044,40";"22.908.040,86";"1.929.996,94";
"08/2023";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"6.380.742,62";"5.075.818,26";"25.023.067,41";"1.784.423,02";
